Category,Item,Status,Priority,Notes,Hiring Impact
Content - Projects,Hackathon projects,To Do,Medium,Quick problem-solving demos,Team collaboration proof

Content - About,Professional summary,To Do,Critical,2-3 paragraph career narrative,Who you are
Content - About,Technical skills matrix,To Do,Critical,Languages / Frameworks / Tools with proficiency,Quick scan for recruiters
Content - About,Soft skills section,To Do,High,Communication / Leadership / Problem-solving,Often overlooked but valued
Content - About,Education details,To Do,Critical,MSc details / relevant coursework / grades,Academic credentials
Content - About,Work experience timeline,Done,High,17 years mechanical engineering + transition story,Unique background
Content - About,Certifications,To Do,Medium,AWS / Google / relevant certs,Additional credibility
Content - About,Languages spoken,To Do,Low,If multilingual,Global team fit

Content - Blog,Technical blog posts,To Do,High,3-5 articles showing expertise,Thought leadership
Content - Blog,MSc learnings/insights,To Do,High,AI/ML topics from your studies,Current knowledge
Content - Blog,Career transition story,To Do,High,Engineering to dev journey,Compelling narrative
Content - Blog,Tutorial/How-to posts,To Do,Medium,Teaching shows mastery,Helps others = good culture fit

SEO & Discoverability,Structured data (JSON-LD),To Do,Medium,Person / WebSite / Article schemas,Better search results
SEO & Discoverability,Sitemap.xml,To Do,Medium,Auto-generated sitemap,Search indexing
SEO & Discoverability,robots.txt,To Do,Low,Search engine guidance,Standard practice
SEO & Discoverability,LinkedIn optimization,To Do,High,Link portfolio + matching narrative,Where recruiters search
SEO & Discoverability,GitHub profile README,To Do,High,Professional GitHub profile,First code impression

Performance & Quality,Lighthouse 90+ scores,To Do,High,Performance / Accessibility / SEO / Best Practices,Shows quality standards
Performance & Quality,Core Web Vitals pass,To Do,High,LCP / FID / CLS optimization,Google ranking factor
Performance & Quality,Accessibility (WCAG 2.1),To Do,High,Screen reader / keyboard nav,Inclusive development
Performance & Quality,Error boundaries,To Do,Medium,Graceful error handling,Production-ready code
Performance & Quality,Loading states,To Do,Medium,Skeleton loaders / spinners,Polish

Testing Evidence,Unit tests,To Do,High,Jest/Vitest for components,Quality assurance
Testing Evidence,E2E tests,To Do,Medium,Playwright for critical paths,Real-world testing
Testing Evidence,Test coverage badge,To Do,Medium,Show in GitHub README,Quality metric

Analytics,Vercel Analytics,To Do,Low,Traffic and performance,Data-driven decisions
Analytics,Privacy-friendly option,To Do,Low,Plausible or Fathom,GDPR awareness

Deployment,Production deploy,To Do,Critical,Live at aoneill.co.uk,Must be live
Deployment,Preview deployments,To Do,Medium,PR previews on Vercel,CI/CD understanding
Deployment,Custom 404 page,To Do,Low,Branded error page,Attention to detail
Deployment,Custom 500 page,To Do,Low,Graceful error handling,Production thinking

Quick Wins,Add GitHub link to navbar,To Do,High,Direct link to your code,Easy access for recruiters
Quick Wins,Add LinkedIn link to navbar,To Do,High,Professional network link,Recruiter preferred platform
Quick Wins,Availability status automation,To Do,Low,Auto-update based on calendar,Shows automation thinking
Quick Wins,Reading time on blog posts,To Do,Low,If blog added,User-friendly
